,Gender,Age,Acc,CR,Ptime,S_anx1,S_anx2,S_anx3,EBB3,R_tea,Inattention,LC,AC,WE,PL
Tra_ttt39_DN,2,16,2,1,10,2,2,2,2,5,5,15,12,8,7
Tea_ttt37_Control,2,15,2,2,10,4,2,1,1,6,13,24,9,12,8
Tra_ttt40_DN,1,14,1,2,6,2,1,1,1,4,13,19,4,5,5
Tra_ttt41_DN,1,16,2,2,10,3,2,1,1,5,12,21,7,4,6
Tra_ttt42_DN,2,16,2,2,10,3,1,1,1,5,9,22,5,6,7
Tea_ttt38_Control,2,12,1,1,1,1,1,1,1,6,3,13,4,3,6
Tea_ttt39_Control,1,15,2,2,4,2,1,1,1,4,6,9,7,9,7
Tea_ttt40_Control,2,15,2,1,4,2,1,1,1,5,6,9,5,3,3
Tra_ttt43_DN,1,15,2,2,10,2,1,1,1,4,6,23,14,9,13
Tea_ttt41_Control,2,16,2,2,4,2,1,1,1,4,3,8,4,6,4
Tea_ttt42_Control,1,13,1,1,2,1,1,1,1,5,2,9,4,4,3
Tea_ttt43_Control,2,13,1,1,1,1,1,1,1,7,6,7,5,6,3
Tea_ttt44_Control,2,16,2,2,4,1,1,1,1,6,4,10,5,8,3
Tea_ttt45_Control,1,15,2,2,9,2,2,2,2,4,9,13,8,6,6
Tea_ttt46_Control,1,15,2,2,1,2,2,3,2,4,14,21,12,8,10
Tea_ttt47_Control,2,16,2,2,6,2,1,1,1,4,5,9,5,4,4
Tra_ttt44_DN,2,16,2,2,6,5,5,5,2,4,7,13,8,12,6
Tra_ttt45_DN,2,16,2,2,10,3,1,1,1,4,13,13,4,4,6
Tea_ttt48_Control,2,16,2,2,2,1,1,1,1,4,5,10,4,4,4
Tra_ttt46_DN,2,15,2,2,4,3,1,1,1,6,4,11,4,6,7
Tea_ttt49_Control,1,13,1,1,2,1,2,1,1,7,2,12,10,13,5
Tea_ttt50_Control,1,14,1,1,2,1,1,1,1,5,4,11,4,4,6
Tea_ttt51_Control,2,15,2,2,2,1,1,1,1,6,4,10,5,8,5
Tra_ttt47_DN,1,12,1,2,8,2,1,1,1,5,14,11,6,7,6
Tea_ttt52_Control,2,13,2,2,2,1,1,1,1,7,5,9,5,3,3
Tra_ttt48_DN,1,15,2,2,10,4,2,3,3,5,25,15,9,7,7
Tea_ttt53_Control,2,15,2,2,5,2,1,1,1,5,2,15,4,3,3
Tea_ttt54_Control,1,16,2,2,3,1,1,1,1,7,5,13,8,13,6
Tra_ttt49_DN,1,16,2,2,7,4,2,2,1,6,20,22,8,7,13
Tea_ttt55_Control,2,13,2,2,1,1,1,1,1,5,3,7,4,4,3
Tea_ttt56_Control,1,16,2,1,5,1,1,1,1,6,2,8,4,3,6
Tra_ttt50_DN,2,16,2,1,6,5,5,5,1,4,23,35,8,15,9
Tea_ttt57_Control,2,15,2,2,4,2,1,1,1,4,9,7,4,3,9
Tra_ttt51_DN,1,13,1,2,3,3,2,3,2,4,8,24,10,12,10
Tea_ttt58_Control,1,15,2,2,1,1,1,1,1,6,0,7,4,4,3
Tra_ttt52_DN,2,13,1,2,2,2,1,2,1,4,10,9,8,9,6
Tea_ttt59_Control,1,16,2,2,4,1,1,1,1,6,10,11,5,3,3
Tea_ttt60_Control,1,14,2,1,3,1,1,1,1,5,1,9,4,15,3
Tra_ttt53_DN,1,13,1,1,2,5,5,2,3,4,5,10,4,3,6
Tra_ttt54_DN,2,16,2,1,10,5,4,5,1,4,12,23,14,11,10
Tea_ttt61_Control,2,15,2,2,4,2,1,1,1,4,12,19,9,6,11
Tra_ttt55_DN,2,16,2,2,1,5,5,2,2,4,12,11,4,4,6
Tea_ttt62_Control,2,16,2,2,6,1,1,1,1,4,6,19,8,10,4
Tea_ttt63_Control,2,16,2,2,5,2,1,1,1,4,6,10,6,8,5
Tea_ttt64_Control,2,16,2,2,2,1,1,1,1,5,9,11,6,12,3
Tea_ttt65_Control,1,12,1,1,1,1,1,1,1,5,1,7,4,3,3
Tea_ttt66_Control,1,14,1,1,6,1,1,1,5,5,0,19,10,6,6
Tra_ttt56_DN,2,15,2,2,5,1,1,1,1,4,5,11,4,5,5
Tea_ttt67_Control,1,15,2,2,10,2,1,1,1,6,8,17,6,10,5
Tea_ttt68_Control,2,15,2,2,5,2,2,1,1,4,7,17,4,5,6
Tra_ttt57_DN,2,13,2,2,10,5,3,1,3,4,11,20,14,9,9
Tra_ttt58_DN,2,13,1,1,2,5,1,1,1,4,5,31,4,7,7
Tea_ttt69_Control,1,15,2,2,5,2,1,1,1,5,4,12,5,8,5
Tra_ttt59_DN,2,15,2,2,8,5,2,1,1,4,4,21,6,15,7
Tra_ttt60_DN,2,13,2,2,2,5,5,5,1,6,7,11,12,15,10
Tea_ttt70_Control,1,14,1,1,0,1,1,1,1,6,1,7,4,4,4
Tra_ttt61_DN,1,16,2,1,6,1,1,1,2,4,13,21,7,6,10
Tea_ttt71_Control,2,16,2,2,5,1,1,1,1,5,4,7,4,3,3
Tea_ttt72_Control,1,14,2,2,2,1,1,1,1,5,5,9,5,3,3
Tea_ttt73_Control,2,13,1,2,3,1,1,1,1,5,6,11,5,6,3
Tra_ttt62_DN,2,16,2,2,9,4,2,2,3,4,8,12,8,13,6
Tra_ttt63_DN,2,15,2,2,5,2,1,1,1,4,8,15,6,9,6
Tea_ttt74_Control,2,13,1,1,2,5,2,1,1,5,3,13,4,9,3
Tra_ttt64_DN,2,16,2,2,10,5,5,5,1,4,19,27,20,9,15
Tea_ttt75_Control,1,13,1,1,2,1,2,1,3,6,4,11,6,8,5
Tra_ttt65_DN,1,14,2,2,9,1,1,1,1,5,11,13,4,8,7
Tea_ttt76_Control,1,16,2,2,2,1,1,1,1,4,1,7,4,5,4
Tra_ttt66_DN,1,16,2,2,8,4,1,1,1,4,17,20,9,15,12
Tra_ttt67_DN,2,15,2,2,6,4,1,2,1,4,3,14,4,5,10
Tea_ttt77_Control,1,16,2,1,10,5,2,4,1,5,0,7,4,3,3
Tra_ttt68_DN,2,13,1,1,1,2,5,1,4,4,16,26,12,15,13
Tea_ttt78_Control,1,13,2,1,1,1,1,1,1,3,3,7,4,3,3
Tea_ttt79_Control,2,16,2,2,8,1,2,1,1,6,3,8,7,4,3
Tea_ttt80_Control,2,16,2,2,4,1,1,1,1,6,2,7,4,5,3
Tea_ttt81_Control,1,13,1,1,1,5,5,1,2,5,8,13,10,6,6
Tra_ttt69_DN,2,14,2,2,8,2,1,1,3,3,8,24,12,7,9
Tra_ttt70_DN,1,16,2,2,4,2,1,1,1,2,6,15,5,7,4
Tra_ttt71_DN,1,13,2,2,2,1,1,1,5,4,5,9,6,7,10
Tra_ttt72_DN,1,15,2,2,7,5,5,5,1,5,1,7,4,9,3
Tea_ttt82_Control,2,14,2,2,2,2,1,1,1,4,11,11,9,11,3
Tra_ttt73_DN,2,15,2,2,8,5,2,2,1,5,18,28,16,7,15
Tra_ttt74_DN,2,15,2,2,6,3,1,2,1,4,15,26,12,15,14
Tra_ttt75_DN,1,15,2,2,7,5,5,3,1,4,24,18,11,15,5
Tra_ttt76_DN,2,12,1,2,10,5,5,5,1,1,27,7,4,3,3
Tea_ttt83_Control,1,14,1,1,3,2,1,1,1,4,8,10,6,7,5
Tea_ttt84_Control,2,13,1,1,2,1,1,1,1,6,5,8,4,5,3
Tra_ttt77_DN,2,16,2,2,2,4,2,2,1,6,11,29,16,8,10
Tea_ttt85_Control,1,14,1,1,2,2,1,1,1,5,3,13,6,5,6
Tra_ttt78_DN,2,15,2,2,10,2,2,2,1,4,10,13,6,14,3
Tra_ttt79_DN,1,16,2,2,10,5,5,5,1,4,18,16,4,3,6
Tra_ttt80_DN,1,16,2,2,4,5,5,5,1,3,6,19,14,13,4
Tea_ttt86_Control,1,13,1,1,3,1,1,1,1,7,2,9,4,4,3
Tea_ttt87_Control,1,15,2,2,10,1,1,1,1,7,10,15,8,6,4
Tra_ttt81_DN,1,16,2,2,3,1,1,1,1,4,5,15,6,6,5
Tea_ttt88_Control,1,14,1,1,1,1,1,1,1,7,3,12,4,4,5
Tra_ttt82_DN,2,13,1,1,2,1,1,1,1,5,12,10,4,4,6
